TIENDA_ID,VENTA_TOTAL,PLAZA_CVE,NIVELSOCIOECONOMICO_DES,MTS2VENTAS_NUM,PUERTASREFRIG_NUM,CAJONESESTACIONAMIENTO_NUM,LATITUD_NUM,LONGITUD_NUM,Meta_venta,Above_Goal,Percentage_of_Goal,ENTORNO_DES_Base,ENTORNO_DES_Hogar,ENTORNO_DES_Peatonal,ENTORNO_DES_Receso,SEGMENTO_MAESTRO_DESC_Barrio Competido,SEGMENTO_MAESTRO_DESC_Clásico,SEGMENTO_MAESTRO_DESC_Hogar Reunión,SEGMENTO_MAESTRO_DESC_Oficinistas,SEGMENTO_MAESTRO_DESC_Parada Técnica,LID_UBICACION_TIENDA_UT_CARRETERA_GAS,LID_UBICACION_TIENDA_UT_DENSIDAD,LID_UBICACION_TIENDA_UT_GAS_URBANA,LID_UBICACION_TIENDA_UT_TRAFICO_PEATONAL,LID_UBICACION_TIENDA_UT_TRAFICO_VEHICULAR
126,9.827529068421052,1,2.5,127.42,13,7,25.69107,-100.21261,4.9,1,200.5618177228786,False,True,False,False,False,False,True,False,False,False,True,False,False,False
681,9.019971085,1,2.0,128.13,13,0,25.73571,-100.18086,4.9,1,184.0810425510204,False,True,False,False,False,False,True,False,False,False,True,False,False,False
117,4.945149431578948,1,2.0,87.62,11,11,25.71883,-100.19133,4.8,1,103.02394649122807,True,False,False,False,False,False,True,False,False,False,True,False,False,False
682,9.685383155,1,2.0,90.7,13,0,25.66952,-100.20744,4.9,1,197.66088071428567,False,True,False,False,False,False,True,False,False,False,True,False,False,False
275,8.594113780952382,1,2.0,95.3,13,6,25.73766,-100.16116,4.9,1,175.3900771622935,False,True,False,False,False,False,True,False,False,False,True,False,False,False
684,4.31225482631579,1,2.0,116.07,13,0,25.70486,-100.15613,4.8,0,89.8386422149123,True,False,False,False,False,False,False,True,False,False,False,True,False,False
694,12.631369610000002,1,2.0,78.48,13,0,25.67955,-100.24328,5.16,1,244.79398468992247,False,False,False,True,False,False,False,True,False,False,False,False,True,False
272,15.649626455,1,2.0,100.58,12,7,25.70058,-100.2018,4.9,1,319.38013173469386,False,True,False,False,False,False,True,False,False,False,True,False,False,False
702,9.44419429,1,2.0,73.24,13,0,25.67344,-100.26084,4.9,1,192.73865897959183,False,True,False,False,False,False,True,False,False,False,True,False,False,False
704,10.526550855,1,2.0,107.23,13,0,25.68419,-100.22138,4.8,1,219.30314281250003,True,False,False,False,False,False,True,False,False,False,False,False,False,True
125,15.489055347368422,1,2.5,141.9,10,6,25.69017,-100.25164,4.9,1,316.1031703544576,False,True,False,False,False,True,False,False,False,False,False,False,False,True
279,11.413090261904763,1,2.0,104.2,13,12,25.67484,-100.24412,4.9,1,232.9202094266278,False,True,False,False,False,False,True,False,False,False,True,False,False,False
127,9.057733995,1,2.5,132.0,12,5,25.66474,-100.20913,4.9,1,184.8517141836735,False,True,False,False,False,False,True,False,False,False,False,True,False,False
706,8.723961131578948,1,2.0,120.87,13,0,25.73785,-100.20217,4.9,1,178.0400230934479,False,True,False,False,False,False,True,False,False,False,True,False,False,False
129,8.63323472,1,2.5,83.99,13,10,25.6808,-100.24372,4.8,1,179.85905666666667,True,False,False,False,False,False,True,False,False,False,False,False,False,True
268,13.76895043,1,2.0,121.2,13,9,25.69481,-100.23052,4.8,1,286.85313395833333,True,False,False,False,False,True,False,False,False,False,False,True,False,False
131,8.84194442,1,2.5,99.65,12,8,25.64911,-100.26649,4.9,1,180.44784530612245,False,True,False,False,False,True,False,False,False,False,True,False,False,False
716,12.06793581,1,2.0,121.21,13,0,25.7105,-100.21547,4.9,1,246.2844042857143,False,True,False,False,False,False,True,False,False,False,True,False,False,False
722,11.909651560000002,1,2.0,118.3,13,0,25.69569,-100.24609,4.8,1,248.1177408333334,True,False,False,False,False,False,False,True,False,False,False,False,False,True
726,10.40252633157895,1,2.0,113.96,13,0,25.72278,-100.15421,4.9,1,212.29645574650917,False,True,False,False,False,False,True,False,False,False,True,False,False,False
135,18.485059815000003,1,2.5,124.5,12,7,25.69272,-100.25433,4.9,1,377.2461186734694,False,True,False,False,False,True,False,False,False,False,True,False,False,False
